"Measure","Dataset","KW_p","group1","group2","p.adj","KW_sig","Wilcox_sig"
"Chao1","Filtered","6.9e-11","Foraminifera","Environment","2.2e-08","***","***"
"Chao1","Filtered","6.9e-11","Multicellular hosts","Environment","2.5e-09","***","***"
"Chao1","Filtered","6.9e-11","Multicellular hosts","Foraminifera","0.609","***","ns"
"Chao1","Unfiltered","7.1e-11","Foraminifera","Environment","2.2e-08","***","***"
"Chao1","Unfiltered","7.1e-11","Multicellular hosts","Environment","2.5e-09","***","***"
"Chao1","Unfiltered","7.1e-11","Multicellular hosts","Foraminifera","0.694","***","ns"
"FaithPD","Filtered","8.6e-11","Foraminifera","Environment","3.4e-08","***","***"
"FaithPD","Filtered","8.6e-11","Multicellular hosts","Environment","1.7e-14","***","***"
"FaithPD","Filtered","8.6e-11","Multicellular hosts","Foraminifera","0.479","***","ns"
"FaithPD","Unfiltered","6.7e-11","Foraminifera","Environment","1.5e-12","***","***"
"FaithPD","Unfiltered","6.7e-11","Multicellular hosts","Environment","1.7e-14","***","***"
"FaithPD","Unfiltered","6.7e-11","Multicellular hosts","Foraminifera","0.483","***","ns"
"Shannon","Filtered","1.9e-10","Foraminifera","Environment","2.1e-10","***","***"
"Shannon","Filtered","1.9e-10","Multicellular hosts","Environment","6.3e-12","***","***"
"Shannon","Filtered","1.9e-10","Multicellular hosts","Foraminifera","0.049","***","*"
"Shannon","Unfiltered","1.7e-10","Foraminifera","Environment","2.1e-10","***","***"
"Shannon","Unfiltered","1.7e-10","Multicellular hosts","Environment","4.6e-12","***","***"
"Shannon","Unfiltered","1.7e-10","Multicellular hosts","Foraminifera","0.049","***","*"
"Simpson","Filtered","3.0e-09","Foraminifera","Environment","6.7e-09","***","***"
"Simpson","Filtered","3.0e-09","Multicellular hosts","Environment","1.1e-09","***","***"
"Simpson","Filtered","3.0e-09","Multicellular hosts","Foraminifera","0.112","***","ns"
"Simpson","Unfiltered","3.1e-09","Foraminifera","Environment","6.7e-09","***","***"
"Simpson","Unfiltered","3.1e-09","Multicellular hosts","Environment","1.1e-09","***","***"
"Simpson","Unfiltered","3.1e-09","Multicellular hosts","Foraminifera","0.116","***","ns"
