"Measure","Dataset_comparison","median_change","Wilcox_p_adj","Wilcox_p_sig"
"Chao1","Unfiltered → Filtered","-5.63","2.3e-09","****"
"Chao1","Unfiltered → Unfiltered_Rarefied"," 0.0e+00","0.001","**"
"Chao1","Filtered → Filtered_Rarefied"," 0.0e+00","0.011","*"
"FaithPD","Unfiltered → Filtered","-10.5","5.3e-13","****"
"FaithPD","Unfiltered → Unfiltered_Rarefied"," 0.0e+00","7.3e-09","****"
"FaithPD","Filtered → Filtered_Rarefied"," 0.0e+00","1.8e-05","****"
"Shannon","Unfiltered → Filtered","-0.0879","2.5e-09","****"
"Shannon","Unfiltered → Unfiltered_Rarefied","-0.408","0.056","ns"
"Shannon","Filtered → Filtered_Rarefied","-0.508","0.056","ns"
"Simpson","Unfiltered → Filtered","-0.0245","2.5e-09","****"
"Simpson","Unfiltered → Unfiltered_Rarefied","-0.0583","0.635","ns"
"Simpson","Filtered → Filtered_Rarefied","-0.226","0.635","ns"
